wav,n10,n20,n30,ref 10,ref 20,ref 30
1534.1,-64.86646271,-61.56048203,-61.33428955,-36.2217865,-36.27630615,-35.5640564
1534.11,-64.9622879,-61.54228973,-61.22609711,-36.18730545,-36.26766205,-35.57464981
1534.12,-65.11830902,-61.56048584,-61.1352005,-36.25872421,-36.35690689,-35.52280045
1534.13,-65.13822937,-61.52844238,-61.06767654,-36.31198883,-36.43052673,-35.52902985
1534.14,-65.19159698,-61.54955292,-61.02896881,-36.28269958,-36.41741943,-35.56664276
1534.15,-65.20889282,-61.44446182,-61.03442764,-36.32816696,-36.33359528,-35.56216812
1534.16,-65.27576447,-61.48732376,-61.10366058,-36.4805603,-36.42995071,-35.59532166
1534.17,-65.41976166,-61.40151596,-61.16324615,-36.54265594,-36.37529755,-35.57929993
1534.18,-65.48313904,-61.2893486,-61.28240585,-36.45626831,-36.28231049,-35.65000153
1534.19,-65.64420319,-61.25349808,-61.38188553,-36.53600311,-36.28012085,-35.75610733
1534.2,-65.77014923,-61.20153809,-61.43443298,-36.64601135,-36.28779984,-35.75053787
1534.21,-65.84499359,-61.10477448,-61.58231735,-36.55856705,-36.25787354,-35.79243851
1534.22,-66.08560181,-61.04996109,-61.68042755,-36.75047302,-36.14370346,-35.94840622
1534.23,-66.23826599,-60.89804077,-61.76018906,-36.84531403,-36.17778015,-35.90021515
1534.24,-66.40055847,-60.80906677,-61.91903305,-36.83662796,-36.16481781,-36.00791931
1534.25,-66.45029449,-60.63469696,-62.08784485,-36.7175827,-36.11567307,-36.05081177
1534.26,-66.38825226,-60.51132965,-62.22444153,-36.68426895,-36.17970276,-36.01132202
1534.27,-66.33685303,-60.43215942,-62.34526443,-36.74387741,-36.17993546,-36.08420181
1534.28,-66.22218323,-60.26766205,-62.48837662,-36.6948204,-36.02315521,-36.09815216
1534.29,-66.15451813,-60.20484161,-62.70178604,-36.67290497,-35.9925499,-36.23223114
1534.3,-66.15214539,-60.15193176,-62.85285187,-36.80953979,-36.03087234,-36.13560104
1534.31,-66.06768799,-60.08411026,-63.03262329,-36.84521484,-36.00455093,-36.11848831
1534.32,-65.96543121,-60.03610992,-63.28641891,-36.78636169,-35.91167068,-36.17737198
1534.33,-65.96709442,-59.99307251,-63.47156525,-36.76825714,-35.86014175,-36.11155701
1534.34,-65.8943634,-60.02734375,-63.69835281,-36.81343842,-35.86021423,-36.07255173
1534.35,-65.95407104,-60.11370087,-63.89821625,-36.86273193,-35.84199142,-36.06999588
1534.36,-66.00096893,-60.12298965,-63.98730087,-36.73075104,-35.76296997,-36.11542511
1534.37,-66.04418182,-60.25661087,-64.0990448,-36.79442215,-35.84719467,-36.08483505
1534.38,-66.12913513,-60.35261536,-64.11560059,-36.87539291,-35.89936829,-35.87062073
1534.39,-66.10488892,-60.43215179,-64.19455719,-36.74938202,-35.88648224,-35.82757568
1534.4,-66.14378357,-60.51902771,-64.29414368,-36.70899963,-35.86546707,-35.85679626
