wav,TE0,TE1,ref
1540.89,-37.59404373,-37.70887756,-33.74510193
1540.9,-37.6401062,-37.43417358,-33.72009659
1540.91,-38.00588226,-37.30276108,-33.67147446
1540.92,-38.23044205,-37.14966583,-33.66773224
1540.93,-38.32484818,-36.91602325,-33.78552628
1540.94,-38.26680756,-36.60058212,-33.68756104
1540.95,-38.46526337,-36.51405716,-33.68002319
1540.96,-38.52380371,-36.35634613,-33.77748108
1540.97,-38.54065704,-36.16539764,-33.83844757
1540.98,-38.76003265,-36.10757828,-33.80647659
1540.99,-39.05884552,-35.99923706,-33.76210022
1541,-39.0714035,-35.73240662,-33.78790665
1541.01,-39.2289772,-35.58390427,-33.76981735
1541.02,-39.52514267,-35.53583908,-33.68450546
1541.03,-39.76470184,-35.53356934,-33.78084183
1541.04,-39.913517,-35.43047714,-33.89630508
1541.05,-40.07796478,-35.36245346,-33.86390686
1541.06,-40.47810364,-35.41721725,-33.9139328
1541.07,-40.69799042,-35.32412338,-34.03100586
1541.08,-40.84981918,-35.16044617,-34.01134109
1541.09,-41.18291092,-35.13927078,-33.93168259
1541.1,-41.56827545,-35.1339035,-34.02559662
1541.11,-41.8143158,-35.04076385,-34.13095474
1541.12,-42.12862778,-34.96656036,-34.10694504
1541.13,-42.44972992,-34.94429779,-34.04206085
1541.14,-42.97254944,-34.96021271,-34.15895844
1541.15,-43.13888168,-34.72577286,-34.19301224
1541.16,-43.43815994,-34.69842148,-34.14850235
1541.17,-43.88746643,-34.72610092,-34.15568924
1541.18,-43.99689484,-34.55493927,-34.20800781
1541.19,-44.36377335,-34.50538635,-34.11077499
1541.2,-45.01916504,-34.59156799,-34.1100235
1541.21,-45.32678604,-34.50366974,-34.15082932
1541.22,-45.82932281,-34.37552261,-34.21767044
1541.23,-45.92668533,-34.23867416,-34.1008873
1541.24,-46.37751007,-34.12778473,-34.05876923
1541.25,-46.88396835,-34.03441238,-34.04037476
1541.26,-46.98313904,-33.8443985,-33.99964905
1541.27,-47.65501404,-33.88087082,-33.9083786
1541.28,-48.16735077,-33.71372604,-33.96012497
1541.29,-48.35828018,-33.51279449,-34.01225662
1541.3,-48.75299072,-33.40435791,-33.92506027
1541.31,-49.11023712,-33.35121918,-33.8026886
1541.32,-49.28240204,-33.28997803,-33.89847565
1541.33,-49.59435654,-33.23055649,-33.84725952
1541.34,-49.69443512,-33.17187881,-33.76857758
1541.35,-49.96949768,-33.18525696,-33.79040909
1541.36,-49.77198029,-33.0248909,-33.81190109
1541.37,-49.57294083,-32.90277481,-33.76502991
1541.38,-49.52915573,-32.95999908,-33.6918602
1541.39,-49.17707443,-33.03216171,-33.78908539
1541.4,-49.10567474,-32.95283127,-33.80744171
1541.41,-48.79508972,-32.97848892,-33.74446487
1541.42,-48.49325562,-33.09171295,-33.76284409
1541.43,-48.1968956,-33.10321426,-33.84624863
1541.44,-47.66836548,-33.13241959,-33.86026382
1541.45,-47.48061752,-33.20682907,-33.84476471
1541.46,-47.04165649,-33.29977036,-33.93268204
1541.47,-46.45992279,-33.25226593,-33.98780823
1541.48,-46.14105606,-33.43727875,-33.92114258
1541.49,-45.5331459,-33.58592987,-33.86684418
1541.5,-45.44867706,-33.71866608,-33.92810059
1541.51,-44.87929535,-33.75693512,-33.88176727
1541.52,-44.53662109,-33.8391304,-33.74780655
1541.53,-44.12937546,-33.90228271,-33.76792908
1541.54,-43.80457306,-33.97264862,-33.80482483
1541.55,-43.5288887,-34.06958008,-33.74900436
1541.56,-43.37878799,-34.32027817,-33.72279739
1541.57,-42.88623047,-34.39926147,-33.73511887
1541.58,-42.59305954,-34.33939743,-33.80241776
1541.59,-42.28688049,-34.2552681,-33.67739868
1541.6,-41.954422,-34.38242722,-33.66437149
1541.61,-41.7127037,-34.42375565,-33.68570709
1541.62,-41.21863556,-34.25508881,-33.69183731
1541.63,-41.05993271,-34.32587433,-33.6350441
1541.64,-40.93115234,-34.43743515,-33.62679291
1541.65,-40.62254715,-34.39722061,-33.70282364
