wav,n = 10,n = 20,n = 30,ref 10,ref 20,ref 30
1521.91,-51.34005356,-58.45359421,-67.85639191,-42.96154022,-41.56587982,-41.421875
1521.92,-51.31433487,-58.19612885,-67.71798706,-43.05776978,-41.5763588,-41.4026947
1521.93,-51.25435257,-58.03634262,-67.48014069,-42.83744431,-41.56417847,-41.2972908
1521.94,-51.30754852,-57.84038925,-67.32292938,-42.91706467,-41.49087524,-41.33759689
1521.95,-51.34288788,-57.62041473,-67.0446701,-43.06023407,-41.32812881,-41.24071884
1521.96,-51.28165054,-57.46696854,-66.75362396,-42.861866,-41.26626587,-41.28426361
1521.97,-51.24462128,-57.35540771,-66.49981689,-42.93821335,-41.33316422,-41.32081223
1521.98,-51.24771881,-57.25748444,-66.18744659,-43.02467346,-41.26096725,-41.20935822
1521.99,-51.21782684,-57.14477539,-65.97768402,-43.10302353,-41.24672699,-41.28422546
1522,-51.19632339,-57.09752655,-65.67422485,-43.15787125,-41.15722656,-41.33745956
1522.01,-51.15880203,-57.0574913,-65.42639923,-43.02983475,-41.12000656,-41.37392807
1522.02,-51.13943863,-57.07633591,-65.17901611,-43.0700264,-41.38220215,-41.43516922
1522.03,-51.05345535,-57.08233643,-64.9666748,-42.92486572,-41.37067032,-41.45446777
1522.04,-50.99277115,-57.11631393,-64.79155731,-42.73768616,-41.37364578,-41.3861351
1522.05,-50.97481155,-57.20096588,-64.62677002,-42.69361496,-41.43782425,-41.50927734
1522.06,-50.97463608,-57.29869843,-64.4797287,-42.58056641,-41.42805481,-41.54351044
1522.07,-50.99285889,-57.36000443,-64.37075043,-42.63587952,-41.52791595,-41.47820663
1522.08,-50.99688339,-57.46117401,-64.27509308,-42.60398865,-41.49720383,-41.64831924
1522.09,-50.88754272,-57.60147858,-64.19410706,-42.50188065,-41.58551025,-41.60656357
1522.1,-50.82236481,-57.74642944,-64.08921814,-42.44122696,-41.75445557,-41.49515533
1522.11,-50.86078262,-57.88093185,-64.03990173,-42.46203995,-41.62797928,-41.4079628
