wav,TE0,TE1,ref,TE0 Norm,TE1 Norm,Sum,,,
1520.95,-43.69082642,-50.74148178,-41.67599993,-2.014826482,-9.065481847,-1.233114015,,,
1520.96,-43.88415527,-50.56661606,-41.83186465,-2.052290624,-8.734751409,-1.207738382,,,
1520.97,-43.90029907,-50.35371017,-41.64254885,-2.257750219,-8.711161321,-1.371830295,,,
1520.98,-43.95526505,-50.10162735,-41.62933474,-2.325930303,-8.472292607,-1.381692993,,,
1520.99,-43.93732452,-49.90707779,-41.62811404,-2.309210485,-8.27896375,-1.329893289,,,
1521,-43.87139893,-49.74314117,-41.64748889,-2.223910039,-8.095652288,-1.2246274,,,
1521.01,-43.90954971,-49.46720123,-41.76684313,-2.142706578,-7.700358098,-1.076984554,,,
1521.02,-43.73844147,-49.06562805,-41.65239459,-2.08604688,-7.413233464,-0.969123774,,,
1521.03,-43.80628204,-48.75730515,-41.78228503,-2.023997014,-6.975020116,-0.818869176,,,
1521.04,-43.7921257,-48.6425972,-41.80396395,-1.988161748,-6.838633245,-0.758453925,,,
1521.05,-43.8700943,-48.43373489,-41.93618136,-1.933912938,-6.497553533,-0.63169511,,,
1521.06,-43.86605072,-48.21047592,-41.9663251,-1.899725621,-6.244150823,-0.539645485,,,
1521.07,-43.92879105,-47.96632004,-41.94967395,-1.979117101,-6.016646093,-0.534365763,,,
1521.08,-43.92910767,-47.66424942,-42.05667239,-1.872435277,-5.607577031,-0.33995384,,,
1521.09,-43.92301941,-47.53559875,-42.04463702,-1.87838239,-5.490961736,-0.309096871,,,
1521.1,-44.09954071,-47.36095047,-42.13586169,-1.963679021,-5.225088781,-0.284866964,,,
1521.11,-44.03501511,-47.15227127,-42.07993823,-1.955076879,-5.072333043,-0.229524488,,,
1521.12,-44.02204895,-47.03792191,-41.9645093,-2.057539647,-5.073412603,-0.298483928,,,
1521.13,-44.09690857,-46.87758636,-41.97427874,-2.122629827,-4.903307622,-0.283819732,,,
1521.14,-44.07219315,-46.77154922,-41.75785952,-2.314333623,-5.013689702,-0.447280111,,,
